FILIAL;CODIGO;NCM;DESCRICAO;PRECO;UND
08.393.837/0001-50;367;25171000; BRITA 19MM /CONCRETO;2.7;LATA
08.393.837/0001-50;1261;84818011; REGISTRO DE PRESSÃO 1400 3/4 BRUTO;15;UND
08.393.837/0001-50;710;25059000;1/2 CARRADA DE AREIA MEDIA;150;UND
08.393.837/0001-50;1048;85366990;2INTERRUPTOR + TOM 10 A TRAMONTINA;13;UND
08.393.837/0001-50;1049;85366990;2TOMADAS 10 A LUX2 TRAMONTINA;9.5;UND
08.393.837/0001-50;375;39269090;ABRAÇADEIRA DE NYLON  280X4.8;0.3;UND
08.393.837/0001-50;376;39269090;ABRAÇADEIRA DE NYLON 100X4.8 BRANCA ;0.1;UND
08.393.837/0001-50;377;39269090;ABRAÇADEIRA DE NYLON 140X4.8 BRANCA ;0.15;UND
08.393.837/0001-50;374;39269090;ABRAÇADEIRA DE NYLON 200X4.8 BRANCA ;0.2;UND
08.393.837/0001-50;1426;38259000;ACIDO MURIATICO;4;UND
08.393.837/0001-50;875;28070010;ACIDO MURIATICO 1L;4;UND
08.393.837/0001-50;694;73079100;ADAPTADOR COM FLANGE 1/2;5;UND
08.393.837/0001-50;1181;39174090;ADAPTADOR COM FRANGE 20X1/2 VIQUA;6.5;UND
08.393.837/0001-50;488;39174090;ADAPTADOR CURTO 1/2 KRONA ;0.5;UND
08.393.837/0001-50;1208;39174090;ADAPTADOR DE 1/2 SOLD;0.5;UND
08.393.837/0001-50;1283;39174090;ADAPTADOR SOLD CURTO  40MM KRONA;1.85;UND
08.393.837/0001-50;1371;39172300;ADAPTADOR SOLD CURTO 20MM X 1/2 KRONA;0.5;UND
08.393.837/0001-50;1372;39172300;ADAPTADOR SOLD CURTO 25MM X 3/4 KRONA;0.8;UND
08.393.837/0001-50;1373;39172300;ADAPTADOR SOLD CURTO 32 MM X 1 KRONA;2;UND
08.393.837/0001-50;1284;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 20MM KRONA;5.5;UND
08.393.837/0001-50;1285;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 25MM KRONA;6.5;UND
08.393.837/0001-50;1286;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 32MM KRONA;9.9;UND
08.393.837/0001-50;1287;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 40MM KRONA;11.09;UND
08.393.837/0001-50;1288;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 50MM KRONA;10.46;UND
08.393.837/0001-50;681;39174090;ADAPTADOR SOLDAVEL 3/4 KRONA ;0.8;UND
08.393.837/0001-50;1209;39174090;ADAPTADOR SOLDAVEL KRONA 25X3/4;0.8;UND
08.393.837/0001-50;401;38089919;ADESIVO GRUDA RATO BRAND;4.5;UND
08.393.837/0001-50;1440;35061090;ADESIVO PLASTICO CARPLASTC ;0;UND
08.393.837/0001-50;386;35061010;ADESIVO SUPER BOND 1.5G;2.5;UND
08.393.837/0001-50;693;73079100;ADPTADOR COM FLANGE 50MM;13;UND
08.393.837/0001-50;748;39174090;ADPTADOR COM FRANGE 3/4 KRONA;6;UND
08.393.837/0001-50;1146;73023000;ALAVANCA DE FERRO GRANDE;70;UND
08.393.837/0001-50;1202;95072000;ANZOL NIQ PRETO CHINU 02 MARINE;0.1;UND
08.393.837/0001-50;692;25221000;APLIC-CAL;0.7;UND
08.393.837/0001-50;939;72171090;ARAME  RECOZIDO;1;GRAMA
08.393.837/0001-50;1217;72172090;ARAME LISO GALVONISADO MORL 18 ;17;UND
08.393.837/0001-50;1218;72171090;ARAME RECOZIDO  METALC 18;10;KG
08.393.837/0001-50;1422;82011000;ARCO DE SERRA AJUSTAVEL 8 - 12 BESTFER FERRARA;15;UND
08.393.837/0001-50;1160;82021000;ARCO DE SERRA TRAM.;12;UND
08.393.837/0001-50;364;25059000;AREIA BARRADA EM/LATA;1.3;LATA
08.393.837/0001-50;363;25059000;AREIA FINA BRANCA  EM/LATA;1.6;LATA
08.393.837/0001-50;362;25059000;AREIA GROSSA  EM/LATA;1.6;LATA
08.393.837/0001-50;361;25059000;AREIA MEDIA  EM/LATA;1.6;LATA
08.393.837/0001-50;937;38245000;ARGAMASSA ACIII BQMIL;0;UND
08.393.837/0001-50;355;38245000;ARGAMASSA BQ MIL CI 15KG;6.5;UND
08.393.837/0001-50;358;38245000;ARGAMASSA BQ MIL CII 15KG;9.5;UND
08.393.837/0001-50;1253;32149000;ARGAMASSA FORTCOLA ACIII;30;UND
08.393.837/0001-50;349;38245000;ARGAMASSA FORTCOLA EXTERIOR CII 20KG;10.5;UND
08.393.837/0001-50;347;38245000;ARGAMASSA FORTCOLA INTERIOR CI 15KG ;6.5;SC
08.393.837/0001-50;677;38245000;ARGAMASSA FORTICOLA CIII 20KG ;30;UND
08.393.837/0001-50;356;38245000;ARGAMASSA QUARTZOLIT CII  20KG;10.5;UND
08.393.837/0001-50;1416;83024100;ARMADOR BATOM ;8;UND
08.393.837/0001-50;1022;83024100;ARMADOR DE REDE PARA CHUMBAR;6.5;UND
08.393.837/0001-50;951;83024100;ARMADOR PARA REDE PARAFUSADO;7.5;PAR
08.393.837/0001-50;1415;83024100;ARMADOR TIRA E BOTA;6.5;PAR
08.393.837/0001-50;1502;73182100;ARRUELA;1;UND
08.393.837/0001-50;1506;73181600;ARUELA;0;UND
08.393.837/0001-50;754;39222000;ASSENTO ALMOFADADO PRIME CINZA ESCURO;45;UND
08.393.837/0001-50;755;39222000;ASSENTO ALMOFADADO PRIME CREME;45;UND
08.393.837/0001-50;753;39222000;ASSENTO AMOLFADADO PRIME BRANCO;45;UND
08.393.837/0001-50;778;39222000;ASSENTO ENVOLVENTE BEGE;15;UND
08.393.837/0001-50;777;39222000;ASSENTO ENVOLVENTE CINZA ESCURO;15;UND
08.393.837/0001-50;775;39222000;ASSENTO ENVOLVENTE IDEALE BRANCO;15;UND
08.393.837/0001-50;780;39222000;ASSENTO ENVOLVENTE IDEALE CARAMELO;15;UND
08.393.837/0001-50;779;39222000;ASSENTO ENVOLVENTE IDEALE CM;15;UND
08.393.837/0001-50;776;39222000;ASSENTO ENVOLVENTE IDEALE CZ CL;15;UND
08.393.837/0001-50;412;32091010;ASSENTO P/SANITARIO HERC ALMOFADADO;45;UND
08.393.837/0001-50;413;39222000;ASSENTO P/SANITARIO HERC ENVOL.;20;UND
08.393.837/0001-50;414;3922000;ASSENTO P/SANITARIO HERC MARROM ;15;UND
08.393.837/0001-50;1198;39259090;BALDE DE CONCRETO 10L GTX;5;UND
08.393.837/0001-50;1197;39259090;BALDE DE CONCRETO PLAST. 12L;6;UND
08.393.837/0001-50;1056;39249000;BALDE DE CONSTRUÇÃO PRETO;5;UND
08.393.837/0001-50;1500;73181300;BARRA ROSCADA 3/8;15;UND
08.393.837/0001-50;462;35061090;BELLO BANHEIRO C/BRANCO BC 46000W 220V LORENZ;46.5;UND
08.393.837/0001-50;666;68101100;BLOCO DE CERAMICA;1;UND
08.393.837/0001-50;1450;76061190;BOBINA DE ALUM 1100 H14X0800;25;MT
08.393.837/0001-50;1448;76061190;BOBINA DE ALUM. 1100H14 0.40X0.600;20;MT
08.393.837/0001-50;1449;76061190;BOBINA DE ALUM. 1100H14 0.40X0700;23;MT
08.393.837/0001-50;485;72104910;BOBINA GALVANIZADA 60CM  CIVIT;18;UND
08.393.837/0001-50;1052;85366100;BOCAL COM RABICHO FOX LUX;2.5;UND
08.393.837/0001-50;1053;94051093;BOCAL DE PORCELANA 60W OLIVO;3.5;UND
08.393.837/0001-50;1171;94051093;BOCAL DECORATIVO 60W OLIVO;4.5;UND
08.393.837/0001-50;565;85366100;BOCAL SOQUETE E27 C/ PLUGUE MACHO TERMOPLASTICO PRETO 4A/250V;4.5;UND
08.393.837/0001-50;567;85366100;BOCAL SOQUETE RABICHO  SIMPLES ;2.5;UND
08.393.837/0001-50;1158;84818019;BOIA AMANCO  1/2;7.5;UND
08.393.837/0001-50;387;84818019;BOIA P/CAIXA  D'GUA 1/2 AMANCO ;7.5;UND
08.393.837/0001-50;1436;96039000;BOINA POLIMENTO COMPEL;8;UND
08.393.837/0001-50;437;64019200;BOTA PVC 42;40;UND
08.393.837/0001-50;1430;73269090;BRAÇADEIRA DE AÇO;1.5;UND
08.393.837/0001-50;858;85469000;BRAQUTE DE CERAMICA;8.5;UND
08.393.837/0001-50;973;82075011;BROCA AÇO RAPIDO 1/4 IRWIN;7;UND
08.393.837/0001-50;974;82075011;BROCA AÇO RAPIDO 1/8 IRWIM;3.5;UND
08.393.837/0001-50;975;82075011;BROCA AÇO RAPIDO 3/16;4.5;UND
08.393.837/0001-50;976;82075011;BROCA AÇO RAPIDO 5/16;9;UND
08.393.837/0001-50;977;82075011;BROCA AÇO RAPIDO 5/32;3.5;UND
08.393.837/0001-50;1074;82075011;BROCA AÇO RAPIDO ATC11/64;5;UND
08.393.837/0001-50;978;82075011;BROCA AÇO RAPIDO9/64;3.5;UND
08.393.837/0001-50;707;82075019;BROCA CHATA ATC 5/8 ;11;UND
08.393.837/0001-50;585;82075019;BROCA CHATA ATC MADEIRA 5/8P ;8.5;UND
08.393.837/0001-50;981;82075011;BROCA CONCRETO 10MM IRWIM;10;UND
08.393.837/0001-50;982;82075011;BROCA CONCRETO 12MM;11;UND
08.393.837/0001-50;980;82075011;BROCA CONCRETO 8MM IRWIM;7.5;UND
08.393.837/0001-50;708;82075019;BROCA D/ AÇO RAPIDO 1/2 POL;20;UND
08.393.837/0001-50;979;82075011;BROCA DE CONCRETO 6MM IRWIM;5;UND
08.393.837/0001-50;535;39269090;BUCHA 6 S/PARAFUSO;0.2;UND
08.393.837/0001-50;536;39269090;BUCHA 7 FIX S/PARAFUSO NYLON ;0.2;UND
08.393.837/0001-50;534;39269090;BUCHA 8 FIX S/PAR.;0.25;UND
08.393.837/0001-50;1075;39269090;BUCHA DE FIXAÇÃO DURAFIX 8;0.25;UND
08.393.837/0001-50;1137;52029900;BUCHA DE POLIMENTO;1.5;UND
08.393.837/0001-50;989;39174090;BUCHA DE RED SOLD CURTA 25X20;0.5;UND
08.393.837/0001-50;990;39174090;BUCHA DE RED SOLD CURTA 32X25;1;UND
08.393.837/0001-50;394;39269090;BUCHA FIXA 10MM S/PARAFUSO;0.4;UND
08.393.837/0001-50;393;73181500;BUCHA FIXA 12MM S/PARAFUSO;0.6;UND
08.393.837/0001-50;1365;39172300;BUCHA RED. ROSC. 1 X 1/2 KRONA ;1.5;UND
08.393.837/0001-50;1366;39172300;BUCHA RED. ROSC. 1 X 3/4 KRONA ;1.5;UND
08.393.837/0001-50;1362;39172300;BUCHA RED. ROSCA 3/4 X 1/2 KRONA;0.5;UND
08.393.837/0001-50;1385;39174090;BUCHA RED.LONGA P/ESGOTODN 50 X 40 KRONA;18;UND
08.393.837/0001-50;486;39174090;BUCHA SOLDAVEL LONGA 50X20MM KRONA;2.5;UND
08.393.837/0001-50;1519;84819090;CABECOTE 2615 TORNEIRA VEDANTE CROMADP COM ROSCA;10;UND
08.393.837/0001-50;1522;84819090;CABECOTE CROMADO;20;UND
08.393.837/0001-50;1521;84819090;CABECOTE MVS AMARELO;10;UND
08.393.837/0001-50;1265;84819090;CABEÇOTE MVS TORNEIRA AMARELO M18;9;UND
08.393.837/0001-50;1520;84819090;CABECOTE SEMI LUXO ;15;UND
08.393.837/0001-50;1523;84819090;CABECOTE VADANTE TORNEIRA CROMADO ;10;UND
08.393.837/0001-50;1263;84819090;CABEÇOTE VEDANTE CROMADO 2618;7.5;UND
08.393.837/0001-50;1264;84819090;CABEÇOTE VEDANTE TORNEIRA 2615 CROMADO;7.5;UND
08.393.837/0001-50;1024;85444900;CABO ELETRICO 2,5MM;1;UND
08.393.837/0001-50;1001;85444900;CABO ELETRICO 6MM;3;UND
08.393.837/0001-50;586;85444900;CABO MAGATRO 4MMX100M AZUL ;1.7;METRO
08.393.837/0001-50;588;85444900;CABO MEGATRON 7MMX100 VERMELHO ;1.7;METRO
08.393.837/0001-50;952;73269090;CABO P/ ROLO DE LÃ;4;UND
08.393.837/0001-50;1145;44170090;CABO PARA CHIBANCA;10;UND
08.393.837/0001-50;1144;44170090;CABO PARA ENXADA;10;UND
08.393.837/0001-50;558;84011000;CADEADO DE LATAO LT 20MM;11;UND
08.393.837/0001-50;552;83011000;CADEADO DE LATAO PADO LT 25MM;12;UND
08.393.837/0001-50;555;84011000;CADEADO DE LATAO PADO LT 30MM;16;UND
08.393.837/0001-50;556;84011000;CADEADO DE LATAO PADO LT 40MM;22;UND
08.393.837/0001-50;557;84011000;CADEADO DE LATAO PADO LT 45MM;25;UND
08.393.837/0001-50;554;84011000;CADEADO DE LATAO PADO LT 50MM;27;UND
08.393.837/0001-50;928;83011000;CADEADO PADO 20MM;11;UND
08.393.837/0001-50;929;83011000;CADEADO PADO 30MM;15;UND
08.393.837/0001-50;931;83011000;CADEADO PADO 35MM;17;UND
08.393.837/0001-50;930;83011000;CADEADO PADO 40MM;21;UND
08.393.837/0001-50;747;39259090;CAIXA 310L TIGRE;145;UND
08.393.837/0001-50;997;39174090;CAIXA 4X2 KRONA;1.2;UND
08.393.837/0001-50;436;39251000;CAIXA D` ÁGUA 500L TIGRE;185;UND
08.393.837/0001-50;944;39251000;CAIXA D`ÁGUA 1000 L FORTLEV;250;UND
08.393.837/0001-50;940;39251000;CAIXA D`ÁGUA 1000 LITROS TIGRE;285;UND
08.393.837/0001-50;1069;39251000;CAIXA D'ÁGUA AMANCO;185;UND
08.393.837/0001-50;1109;39229000;CAIXA DE DESC. TIGRE;27;UND
08.393.837/0001-50;495;39174090;CAIXA DE LUZ 4X2 AMARELA 50X20 KRONA  ;1.2;UND
08.393.837/0001-50;372;39259090;CAIXA ENERGIA MONOFASICA ;45;UND
08.393.837/0001-50;1170;85366990;CAIXA MONOFASICA COSERN ;47;UND
08.393.837/0001-50;757;39174090;CAIXA SIFONADA 100X100X50;5.5;UND
08.393.837/0001-50;787;39174090;CAIXA SIFONADA 250X250X75 QUADRADA C/CESTO E TAMPA;60;UND
08.393.837/0001-50;1412;39174090;CAIXA SINFONADA KRONA;10;UND
08.393.837/0001-50;424;40139000;CAMARA DE AR LEVORIN;25;UND
08.393.837/0001-50;384;39162000;CANALETA  ADESIVADA;6.5;UND
08.393.837/0001-50;915;39172300;CANDUITE 1/2 PLASTMAM;1.5;UND
08.393.837/0001-50;738;39174090;CANDUITE DE 3/4 TIGRE;1.5;METRO
08.393.837/0001-50;1220;39174090;CAP DE ESGOTO DE 50MM;3.5;UND
08.393.837/0001-50;740;39174090;CAP ESG 100 KRONA;5;UND
08.393.837/0001-50;795;39174090;CAP ESG 100MM KRONA;4.5;UND
08.393.837/0001-50;1221;39174090;CAP ESGOTO 75MM;4;UND
08.393.837/0001-50;1386;39174090;CAP ESGOTO PRIM. DN 100 KRONA;5;UND
08.393.837/0001-50;1291;39174090;CAP SOLD 25MM KRONA;0.8;UND
08.393.837/0001-50;1292;39174090;CAP SOLD 32MM KRONA;1;UND
08.393.837/0001-50;1293;39174090;CAP SOLD 40MM KRONA;2;UND
08.393.837/0001-50;1294;39174090;CAP SOLD 50MM KRONA;5;UND
08.393.837/0001-50;1219;39174090;CAPS DE ESG 100MM;5;UND
08.393.837/0001-50;885;39174090;CAPS ESG 100 MM;4.5;UND
08.393.837/0001-50;882;39174090;CAPS ESG 40MM;1.2;UND
08.393.837/0001-50;883;39174090;CAPS ESG 50MM;3;UND
08.393.837/0001-50;884;39174090;CAPS ESG 75MM;3.5;UND
08.393.837/0001-50;484;39174090;CAPS SOLDAVEL 20MM KRONA ;0.5;UND
08.393.837/0001-50;879;39174090;CAPS SOLDAVEL 25MM;0.8;UND
08.393.837/0001-50;880;39174090;CAPS SOLDAVEL DE 32MM;2;UND
08.393.837/0001-50;881;39174090;CAPS SOLDAVEL DE 40MM;3.5;UND
08.393.837/0001-50;736;25059000;CARRADA DE AREIA MEDIA ;300;UND
08.393.837/0001-50;463;35061090;CARRINHO DE MÃO CAÇAMBA RASPA ;115;UND
08.393.837/0001-50;373;87168000;CARRO DE MÃO EXTRA FORTE ;200;UND
08.393.837/0001-50;1066;87168000;CARRO DE MÃO TRAMONTINA;110;UND
08.393.837/0001-50;438;82010000;CAVADEIRA ARTICULADA STAN MONFORT;38;UND
08.393.837/0001-50;924;85381000;CENTRO DE DISTRIBUIÇÃO 3/4 FUME ;11;UND
08.393.837/0001-50;923;85381000;CENTRO DE DISTRIBUIÇÃO P/ 1 DIJUNTO;5;UND
08.393.837/0001-50;723;69149000;CERAMICA TIPO EXTRA 46X46 CERBRAS ;17.5;UND
08.393.837/0001-50;1086;82054000;CHAVE DE BOCA ;5;UND
08.393.837/0001-50;1276;85366100;CHAVE DE TESTE ;3;UND
08.393.837/0001-50;1199;84669340;CHAVE MANDRIL STAFER;6;UND
08.393.837/0001-50;457;35061090;CHIBANCA C/CABO TRAMONTINA ;48;UND
08.393.837/0001-50;789;84818019;CHUVEIRO HERC COM REGISTRO 30CM;6.5;UND
08.393.837/0001-50;788;84818019;CHUVEIRO HERC SIMPLES;5;UND
08.393.837/0001-50;589;39174090;CHUVEIRO KONA C/BRANCO 1/2;7.5;UND
08.393.837/0001-50;1223;39174090;CHUVEIRO KRONA ;7.5;UND
08.393.837/0001-50;1482;25232910;CIMENTO APODI CP2 2;25.5;UND
08.393.837/0001-50;1279;25232100;CIMENTO APODI CPII 50 KG;22;UND
08.393.837/0001-50;1122;25232910;CIMENTO BRANCO FORTCOLA;3.5;UND
08.393.837/0001-50;608;25232910;CIMENTO EM AGRANEL NASSAL / NACIONAL;0.8;KG
08.393.837/0001-50;745;25232910;CIMENTO EM KILO;1;UND
08.393.837/0001-50;1488;25232910;CIMENTO NASSAU 50KG;26.5;UND
08.393.837/0001-50;346;25232910;CIMENTO NASSAU POTLAND-PIV 25 KG;13;SC
08.393.837/0001-50;345;25232910;CIMENTO NASSAU POTLAND-PIV 50 KG ;23;SC
08.393.837/0001-50;877;28070010;CLORO;4;UND
08.393.837/0001-50;938;35061090;COLA BRANCA 1 KG BQMIL;11;UND
08.393.837/0001-50;746;35061090;COLA BRANCA 1000G;11;UND
08.393.837/0001-50;678;35069190;COLA BRANCA FORT FLEX 1KG ;10;UND
08.393.837/0001-50;1194;32141010;COLA DE SILICONE 50G PROTEG;5;UND
08.393.837/0001-50;1116;35061090;COLA DE SILICONE AMAZONAS 50G;5;UND
08.393.837/0001-50;1224;35069190;COLA DURAPOXI LIQUIDO ;12.5;UND
08.393.837/0001-50;910;35061090;COLA FORMICA UNO 200G;7;UND
08.393.837/0001-50;1435;35061090;COLA NORCOLA;9;UND
08.393.837/0001-50;417;35061090;COLA PVC 17G KRONA;2;UND
08.393.837/0001-50;416;35069110;COLA PVC 75G ;5;UND
08.393.837/0001-50;996;35061010;COLA TEKBOND INST. 20G;8;UND
08.393.837/0001-50;1438;35061090;COLA TUBO PVC G AMAZONAS 75G;4.5;UND
08.393.837/0001-50;400;39174090;COLAR DE TOMADA 50X3/4 AMANCO;9.5;UND
08.393.837/0001-50;399;39174090;COLAR DE TOMADA PBA DN50X1/2 AMANCO;9.5;UND
08.393.837/0001-50;792;82055900;COLHER DE PEDREIRO 9" CANTO REDONDO PACETA;23;UND
08.393.837/0001-50;1228;82055900;COLHER DE PEDREIRO PACETA N9 ;23;UND
08.393.837/0001-50;984;82055900;COLHER DE PEDREIRO¨8¨ PACETTA;20;UND
08.393.837/0001-50;1227;0;COLHER P/PEDREIRO BELOTA N°6;10;UND
08.393.837/0001-50;983;82055900;COLHER PEDREIRO ¨6¨ PACETTA;17.5;UND
08.393.837/0001-50;674;68101100;COMUNGOL 40X40;7;UND
08.393.837/0001-50;836;39174090;CONDUITE 3/4;1.7;UND
08.393.837/0001-50;837;39174090;CONDUITE DE 1/2;1.2;UND
08.393.837/0001-50;722;69109000;CONJUTO SANITARIO ACOPLADO LOGASA;200;UND
08.393.837/0001-50;934;32064990;CORANTE JUNTALIDER 50ML;2.5;UND
08.393.837/0001-50;603;32041700;CORANTE XZ VERDE 12X50ML;2.5;UND
08.393.837/0001-50;1063;56041000;CORDA DE SEDA;1.4;UND
08.393.837/0001-50;920;56075090;CORDA MULT FORCE Nº10;1.4;METRO
08.393.837/0001-50;733;32149000;COZINHA E BANHEIROQTZ 20KG PA;10.5;UND
08.393.837/0001-50;592;39174090;CURVA SOLDAVEL 90 KRONA 20MM ;2.5;UND
08.393.837/0001-50;593;39174090;CURVA SOLDAVEL 90 KRONA 25MM;3;UND
08.393.837/0001-50;439;82055900;DESEMPENADEIRA ACO DENT CB PLAS;10;UND
08.393.837/0001-50;440;82055900;DESEMPENADEIRA LISA CB PLAST;10;UND
08.393.837/0001-50;1057;84651000;DESENPOLADEIRA PEQUENA ;3;UND
08.393.837/0001-50;581;68053020;DISCO  LIXA  P/MADEIRA 36 ABRASIVO ;5;UND
08.393.837/0001-50;582;64042211;DISCO BOSCH EXPERTMETAL 8500RPM 180 X3,0X22,23MM;5;UND
08.393.837/0001-50;441;68042119;DISCO CONTINUO IRWIN 1500RPM 110MMX20MM ;20;UND
08.393.837/0001-50;1437;40069000;DISCO DE BORRACHA TOMPHISON FLEX;7;UND
08.393.837/0001-50;577;68042211;DISCO DE CORTE FERRO 115X22,2MM MELFI ;4;UND
08.393.837/0001-50;576;64042211;DISCO DE CORTE INOX 115X2,2MM ;4;UND
08.393.837/0001-50;578;68053020;DISCO DE CORTE METAL 115X22,2MM MAX FERRRAGENS ;5.5;UND
08.393.837/0001-50;1277;82023900;DISCO DE CORTE P/MADEIRA;12;UND
08.393.837/0001-50;1002;68042119;DISCO DE DIAM. LISO 105MM;18;UND
08.393.837/0001-50;1076;0;DISCO DE REBOLO PARA ESMERIL;22;UND
08.393.837/0001-50;1004;68042119;DISCO DIAM. BOCH TURBO 105MM;18;UND
08.393.837/0001-50;1003;68042119;DISCO DIAM.BOSCH SEG 105MM;18;UND
08.393.837/0001-50;568;68053020;DISCO DIAMANTADO BESTFER 13.800 110MM/22,23MM;12;UND
08.393.837/0001-50;570;68053020;DISCO DIAMANTADO BOSH 110MMX20MM;25;UND
08.393.837/0001-50;571;68053020;DISCO DIAMANTADO FETAK 110MMX4,3POL CORTE SECO TURBO ;25;UND
08.393.837/0001-50;583;68053020;DISCO LIXA NORTON F212 A36 MADEIRA ;6;UND
08.393.837/0001-50;1005;85362000;DISJUNTOR 25 A LORENZETTI;9.5;UND
08.393.837/0001-50;564;85362000;DISJUNTOR C40 LEGRAND TRIFASICO;35;UND
08.393.837/0001-50;1153;35061090;DISJUNTOR MONO 30A PIAL;15;UND
08.393.837/0001-50;559;85362000;DISJUNTOR SERIE SD61 20A 1P CURVA B 3KA C16;9.5;UND
08.393.837/0001-50;560;84011000;DISJUNTOR SERIE SD61 20A 1P CURVA B 3KA C20;9.5;UND
08.393.837/0001-50;563;85362000;DISJUNTOR STECK SD 3P C40 ;35;UND
08.393.837/0001-50;476;84818019;DUCHA HIGIENICA BRANCA PVC HIGBAN ;22;UND
08.393.837/0001-50;461;39229000;DUCHA HIGIRNICA PVC BC DUDA ;20;UND
08.393.837/0001-50;1175;32141010;DURAPOXI 50G LOCTITE HENKEL;4.5;UND
08.393.837/0001-50;385;32141010;DUREPOX 50G LOCTITE;4.5;UND
08.393.837/0001-50;591;32141010;DUREPOX LOCTITE 100G;6.5;UND
08.393.837/0001-50;949;83111000;ELETRODO ;15;KILO
08.393.837/0001-50;688;40091100;ENGATE FLEXIVEL 40CM HERC;4;UND
08.393.837/0001-50;741;39174090;ENGATE PLAST 40CM KRONA;4;UND
08.393.837/0001-50;1402;39174090;ENGATE PLASTICO 30 CM X 1/2 KRONA;3;UND
08.393.837/0001-50;1403;39174090;ENGATE PLASTICO 40 CM X 1/2 KRONA;4;UND
08.393.837/0001-50;1404;39174090;ENGATE PLASTICO 50 CM X 1/2 KRONA;5;UND
08.393.837/0001-50;1406;39174090;ENGATE PLASTICO 60CM X 1/2 KRONA;6;UND
08.393.837/0001-50;459;35061090;ENXADA BAHIA VIRADA C/ CABO;31;UND
08.393.837/0001-50;1230;82013000;ENXADA BELOTA ;33;UND
08.393.837/0001-50;391;82013000;ENXADA TRAMONTINA 2.5;23.5;UND
08.393.837/0001-50;1201;96035000;ESCOVA DE AÇO CIRCULA 50X8MM;6.5;UND
08.393.837/0001-50;423;39259090;ESPAÇADOR AZULEJO 3MM;3.5;UND
08.393.837/0001-50;421;39259090;ESPAÇADOR DE AZULEJO PISO 4MM;3.5;UND
08.393.837/0001-50;422;39259090;ESPAÇADOR DE AZULESO 2MM WORKER;3.5;UNI
08.393.837/0001-50;906;8205.59.;ESPATULA  DE AÇO 60MM;3.1;UND
08.393.837/0001-50;905;82055900;ESPATULA DE AÇO 8CM;5.5;UND
08.393.837/0001-50;1407;39174090;ESPUDE P/VASO SANITARIO KRONA ;3;UND
08.393.837/0001-50;954;90172000;ESQUADRO 12`` FAMASTIL;12;UND
08.393.837/0001-50;1278;85442000;EXTENSÃO 5 MTS STOP SHOK;23;UND
08.393.837/0001-50;1000;83014000;FECHADURA INTERNA UNE;21;UND
08.393.837/0001-50;569;83014000;FECHADURA SOBREPOR PADO SERR ACO ZAMC 525/34 EP  55MM;50;UND
08.393.837/0001-50;998;83014000;FECHADURA UNE EXTERNA;30;UND
08.393.837/0001-50;1492;73181500;FERROLHO MEDIO;3;UND
08.393.837/0001-50;1229;85444900;FIO PARALELO 1,50MM;1.8;UND
08.393.837/0001-50;916;85444900;FIO PARALELO 2X1 100M;1.2;METRO
08.393.837/0001-50;1216;35061090;FITA 3M 19MMX20M VHB;3;UND
08.393.837/0001-50;1215;35061090;FITA ADESIVA 3M DUPLA FACE 12X20M;2;UND
08.393.837/0001-50;907;48114110;FITA CREPE 19MMX50MT;5;UND
08.393.837/0001-50;1006;48114110;FITA CREPE ADERE 48MMX50;10;UND
08.393.837/0001-50;675;48114110;FITA CREPE ADESIVA AFA;5;UND
08.393.837/0001-50;442;48114110;FITA CREPE USO GERAL 50MMX50M ADELBRAS;10;UND
08.393.837/0001-50;950;35061090;FITA DUPLA FACE VHB;3;METRO
08.393.837/0001-50;1233;39191020;FITA ISOLANTE 10 MT 3M;4;UND
08.393.837/0001-50;1232;39191020;FITA ISOLANTE 5 MT 3M;2.5;UND
08.393.837/0001-50;580;59061000;FITA ISOLANTE AVNAT 10 METROS 19MM;3.5;UND
08.393.837/0001-50;584;59061000;FITA ISOLANTE CARNEIRO 5M;1.5;UND
08.393.837/0001-50;579;59061000;FITA ISOLANTE PRATIK 18M,M X 20M 1ROLO;5.5;UND
08.393.837/0001-50;467;73170010;FIXADOR BRANCO P/FIO 1 A 2.5MM 15UNID;2;PACOTE
08.393.837/0001-50;1206;82053000;FORMÃO 5/8 CHANFRADO MONFORT;9.5;UND
08.393.837/0001-50;1234;82053000;FORMÃO MOMFORT;9.5;UN
08.393.837/0001-50;726;82053000;FORMAO MONF. AÇO CB. MAD 5/8;13;UND
08.393.837/0001-50;704;39174090;FRANGE 32MM KRONA/TIGRE;7.5;UND
08.393.837/0001-50;703;39174090;FRANGE 50MM KRONA/TIGRE;13;UND
08.393.837/0001-50;1210;39174090;FRANGE DE 1/2 KRONA;5.5;UND
08.393.837/0001-50;1211;39174090;FRANGE DE 3/4;6.5;UND
08.393.837/0001-50;1212;39174090;FRANGE DE 32MM;7.5;UND
08.393.837/0001-50;1213;39174090;FRANGE DE 40MM;11.5;UND
08.393.837/0001-50;1214;39174090;FRANGE DE 50MM;13.5;UND
08.393.837/0001-50;1062;39174090;FRANJO DE 1/2;6.5;UND
08.393.837/0001-50;1205;83024100;GANCHO DE REDE PARAFUSAR SILVANA C12;7.5;UND
08.393.837/0001-50;857;68091100;GESSO 40 KG;17;UND
